SURGERY,AGE,PULSE,MUC_MEMBR,CRT,PAIN,PERISTALSIS,AB_DISTEN,PCV,PROTEIN,OUTCOME,LESION,CP_DATA
0,1,54,1,1,2,3,0,42,6.3,1,0,1
1,1,44,2,1,4,3,3,45,70,1,1,0
1,1,56,3,1,3,3,2,35,61,0,0,0
0,1,80,1,0,2,1,0,54,6.9,1,0,0
0,1,45,2,1,1,2,0,33,5.7,1,1,1
0,1,84,4,0,1,3,1,62,5.9,0,1,1
0,1,60,2,1,2,2,1,53,7.5,1,0,1
1,1,140,3,1,4,3,3,30,69,0,0,0
1,1,120,2,0,4,3,3,52,6.6,0,1,1
0,0,92,1,0,0,2,1,37,6.1,1,0,1
1,1,66,0,0,1,3,2,37,6,1,1,0
1,1,88,2,0,3,2,2,35,6.4,0,1,0
1,1,100,5,1,3,3,2,65,75,0,1,0
1,1,80,3,1,4,3,2,45,7.5,1,1,1
0,1,40,2,0,2,1,2,32,6.4,1,1,1
1,1,84,4,1,3,2,2,47,7.5,0,1,0
1,1,84,3,1,4,2,0,60,6.8,0,1,1
0,1,52,0,0,0,2,0,4,74,1,0,0
0,1,44,2,0,2,2,0,35,6.8,1,0,0
0,1,52,2,0,0,2,1,41,63,1,0,0
1,1,60,2,0,1,0,0,43,6.2,1,1,1
1,1,120,4,1,1,3,2,65,8.2,1,0,0
1,1,76,1,0,4,2,2,35,6.5,1,1,1
0,1,44,0,0,2,2,1,45,5.8,1,0,1
0,1,42,2,0,0,2,0,35,60,1,0,0
0,1,100,5,1,1,3,2,74,5.7,0,1,1
1,1,72,2,0,3,3,2,37,56,1,1,0
1,1,44,0,1,0,0,0,40,6.7,1,1,0
1,1,48,0,0,3,2,0,37,75,1,1,0
1,1,82,3,0,1,2,2,53,65,0,1,0
0,1,60,2,0,1,2,1,41,73,0,0,0
0,1,54,0,0,2,3,2,30,7.1,1,1,1
1,1,48,2,0,3,0,0,27,56,0,1,0
1,1,90,2,0,2,2,2,47,79,1,1,0
1,1,75,3,0,4,2,2,58,8.5,1,1,1
0,1,42,0,0,0,0,1,35,5.9,1,0,0
0,1,60,2,0,3,1,1,40,6,1,1,0
0,1,42,0,0,0,2,0,36,6.2,1,0,0
1,1,60,1,0,1,0,0,44,65,0,1,0
0,1,42,2,0,0,0,0,37,5.8,1,0,0
0,1,88,0,0,2,2,1,44,6,0,1,0
